Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,0.008498,0.008542,0.008462,0.008499,0.008499,0
2017-01-05,0.008543,0.008674,0.008541,0.008539,0.008539,0
2017-01-06,0.008672,0.008676,0.008566,0.008676,0.008676,0
2017-01-09,0.008535,0.008607,0.008509,0.008536,0.008536,0
2017-01-10,0.008621,0.008680,0.008596,0.008622,0.008622,0
2017-01-11,0.008630,0.008644,0.008559,0.008630,0.008630,0
2017-01-12,0.008691,0.008790,0.008679,0.008688,0.008688,0
2017-01-13,0.008719,0.008750,0.008666,0.008721,0.008721,0
2017-01-16,0.008752,0.008795,0.008738,0.008754,0.008754,0
2017-01-17,0.008762,0.008870,0.008751,0.008760,0.008760,0
2017-01-18,0.008857,0.008877,0.008806,0.008859,0.008859,0
2017-01-19,0.008716,0.008740,0.008656,0.008714,0.008714,0
2017-01-20,0.008704,0.008730,0.008668,0.008697,0.008697,0
2017-01-23,0.008783,0.008852,0.008769,0.008787,0.008787,0
2017-01-24,0.008862,0.008883,0.008813,0.008867,0.008867,0
2017-01-25,0.008779,0.008843,0.008775,0.008784,0.008784,0
2017-01-26,0.008835,0.008844,0.008713,0.008827,0.008827,0
2017-01-27,0.008739,0.008741,0.008670,0.008737,0.008737,0
2017-01-30,0.008720,0.008790,0.008702,0.008721,0.008721,0
2017-01-31,0.008796,0.008922,0.008777,0.008799,0.008799,0
2017-02-01,0.008868,0.008868,0.008778,0.008870,0.008870,0
2017-02-02,0.008831,0.008922,0.008831,0.008825,0.008825,0
2017-02-03,0.008867,0.008903,0.008831,0.008866,0.008866,0
2017-02-06,0.008877,0.008926,0.008868,0.008878,0.008878,0
2017-02-07,0.008945,0.008961,0.008884,0.008942,0.008942,0
2017-02-08,0.008897,0.008957,0.008887,0.008898,0.008898,0
2017-02-09,0.008932,0.008936,0.008836,0.008932,0.008932,0
2017-02-10,0.008815,0.008820,0.008784,0.008816,0.008816,0
2017-02-13,0.008774,0.008814,0.008762,0.008779,0.008779,0
2017-02-14,0.008797,0.008828,0.008739,0.008795,0.008795,0
