Date, Close/Last, Volume, Open, High, Low
3/12/2018,1320.8,214392,1324.1,1325,1315.3
3/9/2018,1324,336571,1322.7,1325.9,1313.2
3/8/2018,1321.7,241811,1326.2,1329.8,1319.6
3/7/2018,1327.6,297281,1339.5,1342,1323
3/6/2018,1335.2,269691,1321,1339.9,1320.8
3/5/2018,1319.9,215468,1324.9,1328.9,1318.3
3/2/2018,1323.4,256112,1318,1326.6,1316.2
3/1/2018,1305.2,395651,1319.3,1322.3,1303.6
2/28/2018,1317.9,251263,1318.9,1323.7,1316.7
2/27/2018,1315.5,710,1331.7,1332.6,1312.7
2/26/2018,1332.8,237905,1330.4,1342.9,1328
2/23/2018,1330.3,165052,1333.7,1334.2,1327.7
2/22/2018,1332.7,201972,1326.2,1334.4,1322.9
2/21/2018,1332.1,244241,1331.2,1338.5,1324.4
2/20/2018,1331.2,357520,1348.9,1354,1330.6
2/16/2018,1356.2,21489,1350.2,1356.2,1349.5
2/15/2018,1355.3,251537,1353,1359.8,1350.8
2/14/2018,1358,405262,1331.9,1358.6,1319.1
2/13/2018,1330.4,192998,1325,1333.5,1323.7
2/12/2018,1326.4,203283,1317.1,1330,1316.3
2/9/2018,1315.7,306980,1321,1325,1313.2
2/8/2018,1319,349123,1320.7,1324.5,1309
2/7/2018,1314.6,335680,1326.6,1334.8,1313.5
2/6/2018,1329.5,457363,1343.1,1349.3,1322.8
2/5/2018,1336.5,298950,1334.6,1344.8,1331.6
2/2/2018,1337.3,416513,1352.2,1353.3,1330.1
2/1/2018,1347.9,301115,1348.2,1354.3,1340.2
1/31/2018,1343.1,365063,1341.8,1351,1335.5
1/30/2018,1340,394887,1344,1352.5,1337.5
1/29/2018,1345.1,224553,1353.7,1356.3,1340.9
1/26/2018,1357.2,139946,1352.7,1361,1348.6
1/25/2018,1368,140915,1362.7,1370.5,1346.2
1/24/2018,1361.4,147749,1346.2,1366.8,1344.1
1/23/2018,1336.7,354786,1333,1341.5,1330.7
1/22/2018,1331.9,325008,1334,1335.8,1328
1/19/2018,1333.1,268077,1327,1338.2,1326.6
1/18/2018,1327.2,305093,1327.4,1333.3,1324.3
1/17/2018,1339.2,358312,1339,1344.5,1326.6
1/16/2018,1337.1,472155,1340.9,1345,1332.1
1/12/2018,1334.9,44651,1337.3,1342.4,1334.9
1/11/2018,1322.5,254541,1317.5,1324.7,1316.1
1/10/2018,1319.3,382605,1313.3,1328.6,1308.9
1/9/2018,1313.7,321636,1321.2,1321.4,1309.5
1/8/2018,1320.4,238332,1321.8,1323,1315.7
1/5/2018,1322.3,322422,1324.4,1324.7,1314.6
1/4/2018,1321.6,350803,1315.5,1327.3,1307.1
1/3/2018,1318.5,342866,1319,1323,1308.9
1/2/2018,1316.1,269072,1305.3,1320.4,1304.6
12/29/2017,1309.3,226714,1297.5,1309.8,1296.1
12/28/2017,1297.2,213624,1292,1297.3,1290.5
12/27/2017,1291.4,193217,1287.8,1293.2,1286
12/26/2017,1287.5,130981,1279,1288.4,1277.7
12/22/2017,1278.8,180314,1270.3,1280.4,1268.4
12/21/2017,1270.6,188932,1268.8,1272.5,1266
12/20/2017,1269.6,198670,1264.8,1271.4,1264.4
12/19/2017,1264.2,196646,1265.4,1268.6,1262.3
12/18/2017,1265.5,202834,1257.8,1267,1255.3
12/15/2017,1257.5,230959,1255.5,1264.5,1255.2
12/14/2017,1257.1,252441,1258.1,1261.6,1252.8
12/13/2017,1248.6,296022,1246.3,1259.7,1242.3
12/12/2017,1241.7,216831,1243.9,1247.9,1238.3
12/11/2017,1246.9,185028,1249.2,1253.4,1242.4
12/8/2017,1248.4,270293,1249.5,1254.4,1244.4
12/7/2017,1253.1,305430,1265.2,1266.8,1245.8
12/6/2017,1266.1,239509,1268.3,1271.8,1264.8
